sample_id,text,source,author,day,month,year,location
wl_46122,"Für die User*innen von queer.de hat der Konkursbuch Verlag freundlicherweise fünf Bücher ""Mein lesbisches Auge 20"" zur Verfügung gestellt.",Wortschatz Leipzig,,,,2021,
wl_17560,"Damit mehr Pflegekräfte für die freien Stellen zur Verfügung ständen, müsse jedoch eine Ausbildungsinitiative begonnen werden.",Wortschatz Leipzig,,,,2018,
wl_31592,"Die NATO Response Force (NRF) ist ein multinationaler, schnell verlegbarer Einsatzverband der NATO, der bis zu 40.000 Soldatinnen und Soldaten umfasst.",Wortschatz Leipzig,,,,2021,
wl_29450,"Die Ergebnisse der Studie haben nicht nur Auswirkungen auf das Verständnis der Krankheit, sondern auch auf die Verbesserung der Kommunikation mit den Patientinnen und Patienten, so die Forschenden.",Wortschatz Leipzig,,,,2022,
wl_21049,"Das kritische Hinterfragen der Männerrolle scheint Ihnen, liebe Leserinnen und Leser, ein Anliegen zu sein.",Wortschatz Leipzig,,,,2012,
wl_19640,Das Problem: Die hauptamtlichen Rettungskräfte fühlen sich von ihren ehrenamtlichen Kollegen gemobbt.,Wortschatz Leipzig,,,,2007,
wl_61760,Neben Christoph Hänsli sind zwölf weitere malende Zürcher Kunstschaffende in die Räumlichkeiten des Helmhauses geladen worden.,Wortschatz Leipzig,,,,2012,
wl_50600,"Im Land gibt es rund 2500 Autorinnen und Autoren, die rund 1500 Bücher pro Jahr veröffentlichen.",Wortschatz Leipzig,,,,2011,
wl_04230,Aktuell sind für die WIFIs 12.000 Trainer/innen im Einsatz. 2008 lag der Umsatz bei rund 130 Millionen Euro.,Wortschatz Leipzig,,,,2009,
wl_69930,So sollen neu auch Rekrutinnen und Rekruten eingesetzt werden können.,Wortschatz Leipzig,,,,2021,
wl_73543,"Und natürlich sollten die BesucherInnen die Chance nicht versäumen, neben der Topkunst auch den Fallturm und das Forschungszentrum zu besichtigen.",Wortschatz Leipzig,,,,1995,
wl_39848,Ein besonderer Schwerpunkt des Wettbewerbs liegt auf der Förderung der Ausbildungsreife der Schülerinnen und Schüler.,Wortschatz Leipzig,,,,2010,
wl_40869,Einen Tag zuvor gab es fast 450 ausländische Fachkräfte und 80 Einheiten Technik mehr.,Wortschatz Leipzig,,,,2010,
wl_78997,"Wie die Partei bei einem solchen Trend ""stärkste politische Kraft"" - wie es im Wahlprogramm optimistisch heißt - werden will, kann keiner der Genossen sagen.In dieser Lage könnte die PDS am Wahlabend der lachende Dritte sein.",Wortschatz Leipzig,,,,1999,
wl_83406,"Alles läuft super, sagte sie anschließend in Kiel über die Gründung ihrer Partei, für die es bald bundesweit Landesverbände geben soll. welIn den letzten 7 Tagen schon 40 mal gelesen - zuletzt am 04.07.2009 um 00:35.",Wortschatz Leipzig,,,,2009,
wl_41944,"Er soll jedoch trotzdem noch bei Bewusstsein gewesen sein, als die Rettungskräfte kamen.",Wortschatz Leipzig,,,,2018,
wl_13054,"Bei über 120 000 Einwohner ist das keine leichte Aufgabe.In der Altstadt, dort wo nach der Überlieferung Maria und Josef mit dem Jesuskind lebten, wird noch immer nach Spuren Jahrtausende alter Vergangenheit gesucht.",Wortschatz Leipzig,,,,2009,
wl_53048,"In der Tat: Daß VertreterInnen von sechs eigentlich recht unterschiedlichen Parteien auf dem Podium des Schauspielhauses beisammenhockten, ließ sich an deren Statements kaum erkennen.",Wortschatz Leipzig,,,,1995,
wl_69317,"Siebzehn Schülerinnen und Schüler einer elften Klasse haben sich eingefunden, um die Technik zu üben, mit der Dick Fosbury vor dreißig Jahren als erster zum Olympiagold floppte.",Wortschatz Leipzig,,,,1997,
wl_71509,"Tanzende Menschen, Wasserfontänen, laut wummernde Musik und der Geruch von gebratenem Fleisch am Straßenrand - diese Mischung ist an allen Karnevalsorten in Panama die gleiche.",Wortschatz Leipzig,,,,2014,
wl_15652,Bürgerinnen und Bürger treten heute in der Regel als anspruchsvolle Kunden auf.,Wortschatz Leipzig,,,,2013,
wl_58146,"Martin Margulies, Budgetsprecher der Grünen Wien hält dazu fest: “Die Stadt Wien bzw. die Wiener Linien müssen dem Urteil des Landesgerichtes unverzüglich nachkommen und ein besseres Angebot für Studierende schaffen.",Wortschatz Leipzig,,,,2022,
wl_45202,Fußball-Meister Red Bull Salzburg stellt das Gros des von Österreichs Journalist:innen gewählten Bundesliga-Teams der Saison 2021/22.,Wortschatz Leipzig,,,,2022,
wl_28793,"Die Bilder - eigentlich für ein Buch zusammengestellt - sind auf Initiative des Kulturvereins 'Freundinnen und Freunde Milbertshofens', der Gemeinden St. Georg, St. Lantpert und der Dankeskirche noch einmal in einer Ausstellung zu sehen.",Wortschatz Leipzig,,,,1995,
wl_28832,Die Branche rechnet für den Hochsommer mit einem Plus im zweistelligen Bereich im Vergleich zu 2005.In den letzten 7 Tagen schon 30 mal gelesen - zuletzt am 31.07.2006 um 17:35.,Wortschatz Leipzig,,,,2006,
wl_30866,"Die Kosten müssen zudem gerecht zwischen Eigentümern, Mieterinnen und Mietern sowie dem Staat verteilt werden.",Wortschatz Leipzig,,,,2020,
wl_69717,"So können Besucherinnen und Besucher schon mal einen Eindruck davon bekommen, wie die blühende Zukunft von Hydrangea aussieht.",Wortschatz Leipzig,,,,2022,
wl_67054,Schätzungsweise 5000 Elektro-FahrerInnen gibt es in Deutschland.,Wortschatz Leipzig,,,,1997,
wl_65495,Rettungskräfte suchten am Mittwoch weiter nach Überlebenden.,Wortschatz Leipzig,,,,2001,
wl_60524,"Mutter Kabel bleibt optimistisch: Die beiden würden sich ""ein wenig raufen, aber schließlich doch zueinander finden.""In Sachen Happy-End ist sie schließlich Expertin.",Wortschatz Leipzig,,,,1997,
wl_33880,"Die TrottoirbesetzerInnen wollen auf der Straße bleiben, bis sie eine Sozialwohnung erhalten.",Wortschatz Leipzig,,,,2007,
wl_63806,"Ortsvorsteherin Anke Hupperich: „Die Anteilnahme und das Interesse der Menschen im Landkreis Garmisch-Partenkirchen ist für die Bürger und Bürgerinnen in Kreuzberg, jetzt in der Zeit nach der Flut, ein unschätzbares Geschenk.“",Wortschatz Leipzig,,,,2021,
wl_38925,Durch die Arbeit für Studierende will ich etwas zurückgeben.“,Wortschatz Leipzig,,,,2019,
